0,147.83.42.206,87.248.112.181,6,3378,80,65,35,77994,4179,1361807800.843233,1361807810.660876,1,0,100
1,147.83.42.206,98.137.80.31,6,3384,80,6,8,1378,964,1361807800.845727,1361807830.420638,1,0,100
2,147.83.42.206,98.137.80.31,6,3388,80,54,27,70788,1139,1361807800.848222,1361807833.068868,1,0,100
3,147.83.42.206,98.137.80.31,6,3391,80,12,12,9152,1745,1361807800.848855,1361807833.067635,1,0,100
4,147.83.42.206,98.137.80.31,6,3395,80,34,17,38618,2409,1361807800.850160,1361807833.068361,1,0,100
5,147.83.42.206,98.137.80.31,6,3404,80,17,12,16732,1374,1361807800.853290,1361807841.083087,1,0,100
6,147.83.42.206,98.137.80.31,6,3405,80,5,6,967,369,1361807800.853615,1361807841.082870,1,0,100
7,147.83.42.206,98.137.80.31,6,3406,80,13,10,10248,1481,1361807800.853970,1361807841.081867,1,0,100
8,147.83.42.206,98.137.80.31,6,3407,80,62,16,84249,509,1361807800.854311,1361807841.083421,1,0,100
9,147.83.42.206,173.194.41.240,6,3413,443,20,19,2618,1028,1361807804.396123,1361808044.764869,4,0,100
10,147.83.42.206,173.194.34.239,6,3414,443,67,23,70749,784,1361807804.934882,1361808045.058469,4,0,100
11,147.83.42.206,98.139.240.22,6,3415,80,6,6,384,1888,1361807808.520415,1361807809.805338,1,0,100
12,147.83.42.206,130.206.192.34,6,3417,80,37,63,7363,24240,1361807808.541497,1361808242.368890,1,0,100
13,147.83.42.206,72.30.198.117,6,3419,80,15,10,15450,762,1361807818.788004,1361807831.111616,1,0,100
14,147.83.42.206,72.30.198.117,6,3420,80,18,11,18186,762,1361807818.788479,1361807831.118135,1,0,100
15,147.83.42.206,72.30.198.117,6,3421,80,16,10,15675,762,1361807818.788912,1361807831.100363,1,0,100
16,147.83.42.206,98.139.183.24,6,3424,80,5,7,575,1923,1361807828.435920,1361807851.108184,1,0,100
17,147.83.42.206,98.139.225.42,6,3436,80,32,33,19520,23810,1361807831.330443,1361807881.108068,1,0,100
18,147.83.42.206,98.137.80.31,6,3441,80,36,20,41594,4013,1361807833.041541,1361807864.462119,1,0,100
19,147.83.42.206,98.137.80.31,6,3442,80,17,11,16624,1868,1361807833.456088,1361807858.813097,1,0,100
20,147.83.42.206,23.51.225.224,6,3457,80,24,35,5595,10871,1361807836.257334,1361808201.030451,1,0,100
21,147.83.42.206,98.137.80.31,6,3459,80,7,6,3040,432,1361807836.299404,1361807851.085320,1,0,100
22,147.83.42.206,98.137.201.232,6,3460,80,18,24,4870,12905,1361807837.195748,1361807931.119877,1,0,100
23,147.83.42.206,98.137.80.31,6,3464,80,5,6,883,468,1361807837.718960,1361807852.864799,1,0,100
