#The local date and time: 	Wed Sep 22 00:14:03 2021

#RESULTS , Flows in pcap file
#/mnt/c/Users/ahmad/Desktop/Thesis/pcap_files/test_pcap_output/t1.pcap
#This file contains the flow five tuple, label and prediction result
#five tuple are the biflow info which is examined for training OR classification
#label : can have values according to translator function see translator.cpp
#label = -1 this is undefined label(unknown)
#label = 254 this means the flow is not found in GTfile 
#prediction : can have values according to the classificaton classes defined 
#in ANN classification with its trained model
#prediction = -1 this means the value is not defined - should be only in training phase
FlowID	Src_ip_address	Dst_ip_address	pro	s_p	d_p	label	pred	pckts
48136128	147.83.42.206	173.194.41.240	6	3413	443	1	1	5
27459712	147.83.42.206	173.194.34.239	6	3414	443	1	1	5
1055443008	147.83.42.206	87.248.112.181	6	3378	80	0	0	5
1201867456	147.83.42.206	98.137.80.31	6	3404	80	0	0	5
1578473904	147.83.42.206	98.137.80.31	6	3395	80	0	0	5
2223073136	147.83.42.206	98.137.80.31	6	3391	80	0	0	5
4098946288	147.83.42.206	98.139.240.22	6	3415	80	0	1	3
3780264384	147.83.42.206	98.137.80.31	6	3388	80	0	0	5
3027051488	147.83.42.206	98.137.80.31	6	3406	80	0	0	5
1249287344	147.83.42.206	72.30.198.117	6	3421	80	0	0	5
3939643504	147.83.42.206	98.137.80.31	6	3407	80	0	0	5
257099840	147.83.42.206	72.30.198.117	6	3420	80	0	0	5
3559879632	147.83.42.206	72.30.198.117	6	3419	80	0	0	5
129896320	147.83.42.206	98.137.80.31	6	3384	80	0	0	4
2322078912	147.83.42.206	98.139.225.42	6	3436	80	0	0	5
608033680	147.83.42.206	98.137.80.31	6	3441	80	0	0	5
1520625696	147.83.42.206	98.137.80.31	6	3442	80	0	0	5
2906484672	147.83.42.206	173.252.100.27	6	3469	443	1	1	5
2378152480	147.83.42.206	98.139.0.24	6	3474	80	0	0	3
2114459472	147.83.42.206	98.137.80.31	6	3405	80	0	0	2
434903280	147.83.42.206	98.139.225.42	6	3479	80	0	0	5
2097007168	147.83.42.206	98.137.201.232	6	3460	80	0	0	5
3323541520	147.83.42.206	130.206.192.34	6	3417	80	0	0	5
1404519712	147.83.42.206	23.51.225.224	6	3457	80	0	0	5
300156416	147.83.42.206	98.139.183.24	6	3424	80	0	0	3
4149788080	147.83.42.206	98.137.80.31	6	3459	80	0	0	4
122813568	147.83.42.206	98.137.80.31	6	3464	80	0	0	2
1947997600	147.83.42.206	98.137.80.31	6	3466	80	0	0	3
2860589616	147.83.42.206	98.137.80.31	6	3467	80	0	0	2
1035405584	147.83.42.206	98.137.80.31	6	3465	80	0	0	3
3922312016	147.83.42.206	66.196.116.162	6	3501	80	254	0	3
148207616	147.83.42.206	173.194.41.252	6	3510	80	0	0	5
