inst,label,pred,error,prediction
1,4,4,,0.998
2,3,3,,0.999
3,4,4,,0.998
4,4,4,,0.998
5,3,3,,0.999
6,3,3,,0.999
7,4,4,,0.998
8,3,3,,1
9,3,3,,0.999
10,3,3,,0.999
11,3,3,,0.999
12,3,3,,0.999
13,4,4,,0.998
14,3,3,,0.999
15,3,3,,1
16,4,4,,0.998
17,3,3,,0.999
18,3,3,,0.999
19,2,2,,0.997
20,2,2,,0.997
21,2,2,,0.998
22,3,3,,0.999
23,3,3,,0.999
24,2,2,,0.998
25,2,2,,0.998
26,2,2,,0.998
27,3,3,,0.999
28,3,3,,0.999
29,2,2,,0.998
30,3,3,,0.999
31,3,3,,0.999
32,3,3,,0.999
33,2,2,,0.998
34,0,0,,0.998
35,0,0,,0.998
36,0,0,,0.998
37,0,0,,0.998
38,0,0,,0.998
39,0,0,,0.998
40,0,0,,0.998
41,0,0,,0.998
42,0,0,,0.998
43,0,0,,0.998
44,0,0,,0.998
45,0,0,,0.998
46,3,3,,0.999
47,0,0,,0.998
48,3,3,,0.999
49,3,3,,0.999
50,3,3,,0.999
51,3,3,,0.999
52,3,3,,1
53,3,3,,0.999
54,3,3,,0.999
55,0,0,,0.998
56,3,3,,0.999
57,3,3,,0.999
58,0,0,,0.998
59,3,3,,0.999
60,0,0,,0.998
61,4,4,,0.998
62,4,4,,0.998
63,4,4,,0.998
64,3,3,,0.999
65,3,3,,0.999
66,3,3,,0.999
67,4,4,,0.998
68,3,3,,1
69,3,3,,0.999
70,3,3,,0.999
71,3,3,,0.999
72,4,4,,0.998
73,4,4,,0.998
74,3,3,,0.999
75,4,4,,0.998
76,3,3,,1
77,3,3,,0.999
78,3,3,,0.999
79,3,3,,0.999
80,4,4,,0.998
81,3,3,,0.999
82,3,3,,0.999
83,3,3,,0.999
84,3,3,,0.999
85,3,3,,0.999
86,2,2,,0.997
87,2,2,,0.998
88,3,3,,0.999
89,3,3,,1
90,3,3,,0.999
91,3,3,,0.999
92,2,2,,0.998
93,0,0,,0.998
94,0,0,,0.998
95,0,0,,0.998
96,0,0,,0.998
97,0,0,,0.998
98,0,0,,0.998
99,0,0,,0.998
100,0,0,,0.998
101,0,0,,0.998
102,0,0,,0.998
103,0,0,,0.998
104,3,3,,0.999
105,3,3,,0.999
106,0,0,,0.998
107,3,3,,0.999
108,3,3,,0.999
109,3,3,,1
110,3,3,,0.999
111,3,3,,0.999
112,0,0,,0.998
113,0,0,,0.998
114,3,3,,0.999
115,3,3,,0.999
116,3,3,,0.999
117,3,3,,1
118,3,3,,0.999
119,3,3,,0.999
120,3,3,,0.999
121,0,0,,0.998
122,3,3,,0.999
123,3,3,,0.999
124,0,0,,0.998
125,3,3,,0.999
126,3,3,,0.999
127,0,0,,0.998
128,0,0,,0.998
129,0,0,,0.998
130,0,0,,0.998
131,4,4,,0.998
132,4,4,,0.998
133,4,4,,0.998
134,4,4,,0.998
135,4,4,,0.998
136,4,4,,0.998
137,4,4,,0.998
138,4,4,,0.998
139,3,3,,1
140,4,4,,0.998
141,3,3,,1
142,3,3,,0.999
143,4,4,,0.998
144,4,4,,0.998
145,3,3,,0.999
146,4,4,,0.998
147,3,3,,0.999
148,4,4,,0.998
149,4,4,,0.998
150,4,4,,0.998
151,4,4,,0.998
152,3,3,,0.999
153,3,3,,1
154,4,4,,0.998
155,3,3,,1
156,3,3,,1
157,3,3,,1
158,4,4,,0.998
